id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
518	Star Trek: Nemesis	2002	PG-13	13 Dec 2002	116 min	Action, Adventure, Sci-Fi	Stuart Baird	Gene Roddenberry (television series Star Trek), John Logan (story), Rick Berman (story), Brent Spiner (story), John Logan (screenplay)	Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton	Captain Jean-Luc Picard and his crew return to battle a chilling new adversary... that just happens to hold a shocking link to Picard! In the wake of a joyful wedding between William Riker and Deanna Troi, Picard receives another reason to celebrate: the Romulans want peace and the captain will be the Federation's emissary. But as the Enterprise heads towards Romulus, a brilliant villain awaits--harboring a diabolical plan of destruction and an unimaginable secret that will give Picard his most fearsome challenge. Shinzon, a Romulan-made clone of Picard, wants nothing less than the conquest of the Romulan Empire, the complete destruction of Earth and the death of Captain Picard himself.	English	USA	1 win & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_SX300.jpg	51	6.4	52179	tt0253754	37	rotten	5.2	158	59	99	Nemesis has an interesting premise and some good action scenes, but the whole affair feels a bit tired.	50	3.1	74154	20 May 2003	$43.1M	Paramount Pictures	http://nemesis.startrek.com/
519	Star Wars: Episode IV - A New Hope	1977	PG	25 May 1977	121 min	Action, Adventure, Fantasy	George Lucas	George Lucas	Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing	A young boy from Tatooine sets out on an adventure with an old Jedi named Obi-Wan Kenobi as his mentor to save Princess Leia from the ruthless Darth Vader and Destroy the Death Star built by the Empire which has the power to destroy the entire galaxy.	English	USA	Won 6 Oscars. Another 38 wins & 26 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU4NTczODkwM15BMl5BanBnXkFtZTcwMzEyMTIyMw@@._V1_SX300.jpg	91	8.7	729403	tt0076759	93	certified	8.3	71	66	5	A legendarily expansive and ambitious start to the sci-fi saga, George Lucas opened our eyes to the possiblites of blockbuster filmmaking and things have never been the same.	96	4.1	846436	21 Sep 2004	N/A	20th Century Fox	http://www.starwars.com/episode-iv/
520	Star Wars: Attack of the Clones - A Jigsaw Puzzle	2002	N/A	11 Nov 2002	N/A	Documentary, Short	N/A	N/A	Charles Bailey, Carol Bauman, Ahmed Best, Fon Davis	N/A	English	N/A	N/A	N/A	N/A	N/A	N/A	tt2323212	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
521	Star Wars: Episode V - The Empire Strikes Back	1980	PG	20 Jun 1980	124 min	Action, Adventure, Fantasy	Irvin Kershner	Leigh Brackett (screenplay), Lawrence Kasdan (screenplay), George Lucas (story)	Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams	After the Rebel base on the icy planet Hoth is taken over by the empire, Han, Leia, Chewbacca, and C-3PO flee across the galaxy from the Empire. Luke travels to the forgotten planet of Dagobah to receive training from the Jedi master Yoda, while Vader endlessly pursues him.	English	USA	Won 1 Oscar. Another 15 wins & 16 nominations.	http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_SX300.jpg	78	8.8	665437	tt0080684	96	certified	8.7	75	72	3	Dark, sinister, but ultimately even more involving than A New Hope, The Empire Strikes Back defies viewer expectations and takes the series to heightened emotional levels.	97	4.1	1040279	21 Sep 2004	N/A	Twentieth Century Fox	http://www.starwars.com/episode-v/
522	Starman	1984	PG	14 Dec 1984	115 min	Adventure, Drama, Romance	John Carpenter	Bruce A. Evans, Raynold Gideon	Jeff Bridges, Karen Allen, Charles Martin Smith, Richard Jaeckel	Jenny Hayden never did get over the death of her husband. So when an alien life form decides to model 'himself' on the husband, Jenny is understandably confused if not terrified. The alien, or Starman, as he is called, has a deadline to meet, and kidnaps Jenny in order to meet it.	English	USA	Nominated for 1 Oscar. Another 1 win & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BODg5ODI0NzM5M15BMl5BanBnXkFtZTgwNDk5MjQxMDE@._V1_SX300.jpg	71	7	29658	tt0088172	80	fresh	6.7	25	20	5	What initially begins as sci-fi transforms into a surprisingly sweet, offbeat drama, courtesy of John Carpenter's careful direction.	69	3.3	24195	06 Mar 2001	N/A	Columbia Pictures	N/A
523	Starship Troopers	1997	R	07 Nov 1997	129 min	Action, Sci-Fi	Paul Verhoeven	Edward Neumeier (screenplay), Robert A. Heinlein (book)	Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey	In the distant future high school kids are encouraged to become citizens by joining the military. What they don't know is that they'll soon be engaged in a full scale war against a planet of alien insects. The fight is on to ensure the safety of humanity.	English	USA	Nominated for 1 Oscar. Another 3 wins & 12 nominations.	http://ia.media-imdb.com/images/M/MV5BOTE3MDAyNTM4OF5BMl5BanBnXkFtZTcwMTcxNDI4OA@@._V1_SX300.jpg	51	7.2	199636	tt0120201	63	fresh	6.1	59	37	22	A fun movie...if you can accept the excessive gore and wooden acting.	69	3.1	222531	19 May 1998	N/A	Sony Pictures Home Entertainment	http://www.spe.sony.com/Pictures/SonyMovies/movies/Starship
524	State and Main	2000	R	12 Jan 2001	105 min	Comedy, Drama	David Mamet	David Mamet	Michael Higgins, Michael Bradshaw, Morris Lamore, Allen Soule	Having left New Hampshire over excessive demands by the locals, the cast and crew of 'The Old Mill' moves their movie shoot to a small town in Vermont. However, they soon discover that The Old Mill burned down in 1960, the star can't keep his pants zipped, the starlet won't take her top off, and the locals aren't quite as easily conned as they appear.	English, Italian	France, USA	7 wins & 8 nominations.	http://ia.media-imdb.com/images/M/MV5BMTk2NzA4MjI2OV5BMl5BanBnXkFtZTcwMTY3MTAyMQ@@._V1_SX300.jpg	75	6.8	17510	tt0120202	86	certified	7.3	115	99	16	State and Main offers plenty of wit and laughs in its lampoons of the movie industry.	70	3.3	8195	19 Jun 2001	$5.8M	Fine Line Features	http://www.stateandmain.com
525	Stepmom	1998	PG-13	25 Dec 1998	124 min	Comedy, Drama	Chris Columbus	Gigi Levangie (story), Gigi Levangie (screenplay), Jessie Nelson (screenplay), Steven Rogers (screenplay), Karen Leigh Hopkins (screenplay), Ronald Bass (screenplay)	Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone	Anna and Ben, the two children of Jackie and Luke, have to cope with the fact that their parents divorced and that there is a new woman in their father's life: Isabel, a successful photographer. She does her best to treat the kids in a way that makes them still feel at home when being with their dad, but also loves her work and does not plan to give it up. But Jackie, a full-time mother, regards Isabel's efforts as offensively insufficient. She can't understand that work can be important to her as well as the kids. The conflict between them is deepened by the sudden diagnose of cancer, which might may be deadly for Jackie. They all have to learn a little in order to grow together.	English	USA	Nominated for 1 Golden Globe. Another 8 wins & 6 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI4ODIzMDYxN15BMl5BanBnXkFtZTcwOTY2NzMyMQ@@._V1_SX300.jpg	58	6.6	41132	tt0120686	44	rotten	5.1	55	24	31	Great performances from the leads can't save this factory mill tearjerker.	75	3.3	271555	22 May 2001	N/A	TriStar Pictures	http://www.spe.sony.com/movies/stepmom/index.html
526	Sting: The Brand New Day Tour - Live from the Universal Amphitheatre	2000	N/A	N/A	88 min	Documentary, Music	Lawrence Jordan	N/A	Sting, Dominic Miller, Manu Katch, Jason Robello	N/A	English	USA	N/A	N/A	N/A	7.4	115	tt0271804	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	2.5	7	26 Sep 2000	N/A	N/A	N/A
527	Stir of Echoes	1999	R	10 Sep 1999	99 min	Horror, Mystery	David Koepp	Richard Matheson (novel), David Koepp (screenplay)	Zachary David Cope, Kevin Bacon, Kathryn Erbe, Illeana Douglas	Tom's a regular guy, a utilities lineman, married, with a young son, his wife is pregnant; he hangs out with long-time pals in a Chicago neighborhood. At a party, his sister-in-law hypnotizes him, and he goes into a deep trance. Before waking him, she suggests that he keep his mind open. That night he sees flashes of violence and the ghost of a young woman. His young son, too, is 'a receiver,' but while the boy is calm and coherent in his conversations with spirits, Tom is confused and agitated. Over time, the young woman's story comes to the surface, and Tom begins a hunt for her body that puts him and his usually understanding wife, Maggie, in grave danger.	English	USA	3 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTU0OTAyMDQzNV5BMl5BanBnXkFtZTcwNTg1NjYyMQ@@._V1_SX300.jpg	67	7	57493	tt0164181	67	fresh	6.4	103	69	34	Kevin Bacon's acting is so genuine that it's creepy and director David Keopp knows how to create true suspense.	70	3.4	64431	21 Aug 2001	N/A	Artisan Entertainment	http://www.stirofechoes.com
528	Strange Days	1995	R	13 Oct 1995	145 min	Action, Crime, Drama	Kathryn Bigelow	James Cameron (story), James Cameron (screenplay), Jay Cocks (screenplay)	Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore	Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?	English	USA	2 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQxMzk0NTQ4Ml5BMl5BanBnXkFtZTgwNjY0MDQ1MDE@._V1_SX300.jpg	N/A	7.2	49637	tt0114558	63	fresh	6.2	41	26	15	N/A	73	3.3	34604	07 Sep 1999	N/A	Twentieth Century Fox Home Entertainment	N/A
529	Strangers on a Train	1951	APPROVED	30 Jun 1951	101 min	Crime, Film-Noir, Thriller	Alfred Hitchcock	Raymond Chandler (screen play), Czenzi Ormonde (screen play), Whitfield Cook (adaptation), Patricia Highsmith (from the novel by)	Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll	Bruno Anthony thinks he has the perfect plot to rid himself of his hated father and when he meets tennis player Guy Haines on a train, he thinks he's found the partner he needs to pull it off. His plan is relatively simple. Two strangers each agree to kill someone the other person wants disposed of. For example, Guy could kill his father and he could get rid of Guy's wife Miriam, freeing him to marry Anne Morton, the beautiful daughter of a U.S. Senator. Guy dismisses it all out of hand but but Bruno goes ahead with his half of the 'bargain' and disposes of Miriam. When Guy balks, Bruno makes it quite clear that he will plant evidence to implicate Guy in her murder if he doesn't get rid of his father. Guy had also made some unfortunate statements about Miriam after she had refused him a divorce. It all leads the police to believe Guy is responsible for the murder, forcing him to deal with Bruno's mad ravings.	English, French	USA	Nominated for 1 Oscar. Another 1 win & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTcwNzk0MTQxMF5BMl5BanBnXkFtZTcwNjM5NTIwNA@@._V1_SX300.jpg	N/A	8.1	81077	tt0044079	98	certified	8.8	42	41	1	A provocative premise and inventive set design lights the way for Hitchcock diabolically entertaining masterpiece.	93	4.1	34626	27 Aug 1997	N/A	Warner Home Video	N/A
530	Sugar and Spice	2001	N/A	19 Jun 2001	10 min	Short	Tania Trepanier	Tania Trepanier	Shalini Tewari, Arano Khokhar	Radha and Anna cover up their relationship when Radha's aunt Durga comes for a visit from India, with surprising results!	N/A	Canada	N/A	N/A	N/A	6.6	7	tt0274912	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
531	Sugar	2008	R	05 Jun 2009	114 min	Drama, Sport	Anna Boden, Ryan Fleck	Anna Boden, Ryan Fleck	Jose Rijo, Walki Cuevas, Algenis Perez Soto, Santo Silvestre	By 2008, more than 25 percent of major league baseball players were born in Latin America. At 19, Miguel 'Sugar' Santos, a serious kid from the Dominican Republic, signs with Kansas City. He flies to Phoenix for tryouts and is sent to the Class A team 'The Swing' in the fictional town of Bridgetown, Iowa, where he lives with a farm family. Thus begins his odyssey: leaving his mom and girlfriend; living in an alien culture; learning English; overcoming jitters; working hard; achieving early success; navigating friendships, occasional racism, and a woman's mixed signals; dealing with an injury; trying performance-enhancing drugs; and, searching for his place in the world. Will he make it to the Majors; will he play in New York?	Spanish, English	USA, Dominican Republic	2 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTMzMzI0OTIyOF5BMl5BanBnXkFtZTcwMzU1NzEzMg@@._V1_SX300.jpg	82	7.2	3863	tt0990413	92	certified	7.8	130	119	11	Sugar is an exceptionally-crafted film -- part sports flick, part immigrant tale -- with touching and poignant drama highlighted by splendid performances.	80	3.7	12432	01 Sep 2009	$1.0M	Sony Classics	http://www.sonyclassics.com/sugar/
532	Sunset Blvd.	1950	NOT RATED	25 Aug 1950	110 min	Drama, Film-Noir	Billy Wilder	Charles Brackett, Billy Wilder, D.M. Marshman Jr.	William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson	The story, set in '50s Hollywood, focuses on Norma Desmond, a silent-screen goddess whose pathetic belief in her own indestructibility has turned her into a demented recluse. The crumbling Sunset Boulevard mansion where she lives with only her butler, Max who was once her director and husband has become her self-contained world. Norma dreams of a comeback to pictures and she begins a relationship with Joe Gillis, a small-time writer who becomes her lover, that will soon end with murder and total madness.	English	USA	Won 3 Oscars. Another 18 wins & 14 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc3NDYzODAwNV5BMl5BanBnXkFtZTgwODg1MTczMTE@._V1_SX300.jpg	N/A	8.5	118310	tt0043014	98	certified	9.3	59	58	1	Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.	95	4.3	51162	26 Nov 2002	N/A	Paramount Pictures	N/A
533	Sunshine Cleaning	2008	R	17 Apr 2009	91 min	Comedy, Drama	Christine Jeffs	Megan Holley	Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack	A family. Rose and Norah, in Albuquerque, lost their mother when they were young. Rose is responsible - a housecleaner, raising her seven-year-old son Oscar. She's also having an affair with Mac, a married cop, her high-school sweetheart. Norah can't hold a job. Their dad, Joe, is quirky. When Oscar is expelled for odd behavior, Rose wants to earn enough to send him to private school. Mac suggests she clean up after crime scenes, suicides, and deaths that go undiscovered for awhile. Rose enlists Norah, and Sunshine Cleaners is born. Norah bonds with the dead, Rose finds out that it's a regulated business, and complications arise. Can a family marked by tragedy sort things out?	English, Spanish	USA	2 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU4MzUzMTg4M15BMl5BanBnXkFtZTcwNDY2MjUyMg@@._V1_SX300.jpg	61	6.9	58038	tt0862846	72	certified	6.3	167	121	46	Despite a sometimes overly familiar plot, Sunshine Cleaning benefits from the lively performances of its two stars.	62	3.3	180165	25 Aug 2009	$12.0M	Overture Films	http://www.sunshinecleaning-themovie.com/
534	Superbad	2007	R	17 Aug 2007	113 min	Comedy	Greg Mottola	Seth Rogen, Evan Goldberg	Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader	Seth and Evan are best friends, inseparable, navigating the last weeks of high school. Usually shunned by the popular kids, Seth and Evan luck into an invitation to a party, and spend a long day, with the help of their nerdy friend Fogell, trying to score enough alcohol to lubricate the party and inebriate two girls, Jules and Becca, so they can kick-start their sex lives and go off to college with a summer full of experience and new skills. Their quest is complicated by Fogell's falling in with two inept cops who both slow and assist the plan. If they do get the liquor to the party, what then? Is sex the only rite of passage at hand?	English	USA	9 wins & 20 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX300.jpg	76	7.6	376327	tt0829482	88	certified	7.5	202	177	25	Deftly balancing vulgarity and sincerity while placing its protagonists in excessive situations, Superbad is an authentic take on friendship and the overarching awkwardness of the high school experience.	87	4.1	630764	04 Dec 2007	$121.5M	Sony Pictures/Columbia	http://www.sonypictures.com/movies/superbad/
535	The Surfer King	2006	PG-13	N/A	95 min	Comedy	Bernard Murray Jr.	Bernard Murray Jr.	Randy Wayne, Ben Ziff, Cerina Vincent, Keri Lynn Pratt	Seventeen-year old Robbie Zirpollo has a problem. As the film opens, his mother is driving him to his new summer job. We learn that Robbie has grown up in Oceanside, California, but now he and his mother have moved to Colorado for a fresh start, as his father has taken the family's savings and his secretary to Mexico. Robbie's mom has, through an uncle, gotten him a summer job at Water World on the grounds crew. The adventure begins when Robbie meets Alex and gets moved to Aokee's Surf & Snack shack to work. Alex convinces Robbie to enter the park's 'Employee Olympics' to bring the Surfer King trophy to it's rightful place among the concessions crew. Tiffany, the park owner's daughter, has other ideas for Robbie.	English	USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTk3MzAyMzIwMl5BMl5BanBnXkFtZTcwOTM4NjE1MQ@@._V1_SX300.jpg	N/A	3.7	313	tt0418206	N/A	N/A	N/A	N/A	N/A	N/A	N/A	22	2.8	202	21 Aug 2007	N/A	N/A	http://thesurferking.com
536	Suspect Zero	2004	R	27 Aug 2004	99 min	Crime, Thriller	E. Elias Merhige	Zak Penn (story), Zak Penn (screenplay), Billy Ray (screenplay)	Aaron Eckhart, Ben Kingsley, Carrie-Anne Moss, Harry Lennix	When Dallas FBI Agent Thomas Mackelway violates serial killer Raymond Starkey's civil rights during an unorthodox arrest, Starkey goes free and Mackelway is demoted to a remote branch of the agency in Albuquerque. His first day on the job, Mackelway investigates the murder of a traveling salesman Harold Speck, which turns out to be the first of three seemingly random killings. Or perhaps they are not random at all; the last to die is Mackelway's nemesis, Raymond Starkey. The assignment consumes him. His past mistakes haunt him. His head throbs constantly as he tries to find the link between the victims that will lead him to their killer. The case becomes increasingly gruesome and patently personal. This does not go unnoticed by his unflappable partner Fran Kulok, who knows of Mackelway's past and the demons that afflict him. Like Mackelway, she becomes drawn into the labyrinth of chilling clues, all of which point to the enigmatic Benjamin O'Ryan. O'Ryan clearly has a connection to the murders, a connection he flaunts; quite possibly, he may also harbor a sinister link to Mackelway.	English	USA, UK, Germany	N/A	http://ia.media-imdb.com/images/M/MV5BMTIxMTA5ODQ1N15BMl5BanBnXkFtZTcwMDUyMzYyMQ@@._V1_SX300.jpg	37	5.9	15442	tt0324127	18	rotten	4.4	129	23	106	Other than Ben Kingsley, there's not much to like in this preposterous thriller.	38	3	11656	12 Apr 2005	$8.6M	Paramount Pictures	http://www.suspectzero.com
537	The Sweet Hereafter	1997	R	21 Nov 1997	112 min	Drama	Atom Egoyan	Russell Banks (novel), Atom Egoyan (screenplay)	Ian Holm, Caerthan Banks, Sarah Polley, Tom McCamus	A small community is torn apart by a tragic accident which kills most of the town's children. A lawyer visits the victims' parents in order to profit from the tragedy by stirring up the their anger and launching a class action suit against anyone they can blame. The community is paralyzed by its anger and cannot let go. All but one young girl, left in a wheelchair after the accident, who finds the courage to lead the way toward healing.	English	Canada	Nominated for 2 Oscars. Another 50 wins & 32 nominations.	http://ia.media-imdb.com/images/M/MV5BMzU1MTcwMzI3M15BMl5BanBnXkFtZTgwMzk0NjYxMTE@._V1_SX300.jpg	90	7.7	24694	tt0120255	100	certified	8.9	54	54	0	Director Atom Egoyan examines tragedy and its aftermath with intelligence and empathy.	86	4	11034	26 May 1998	N/A	Fine Line Features	N/A
538	Sweet Smell of Success	1957	NOT RATED	27 Jun 1957	96 min	Drama, Film-Noir	Alexander Mackendrick	Clifford Odets (screenplay), Ernest Lehman (screenplay), Ernest Lehman (novel)	Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner	J.J. Hunsecker, the most powerful newspaper columnist in New York, is determined to prevent his sister from marrying Steve Dallas, a jazz musician. He therefore covertly employs Sidney Falco, a sleazy and unscrupulous press agent, to break up the affair by any means possible.	English	USA	Nominated for 1 BAFTA Film Award. Another 3 wins & 2 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAwNzQ3MjE2Nl5BMl5BanBnXkFtZTcwNjU2NzI5NA@@._V1_SX300.jpg	100	8.2	17481	tt0051036	98	certified	8.8	46	45	1	Sweet Smell of Success boasts a top-notch cast, sharp direction, atmospheric cinematography, and an appropriately jazzy score, making it one of the best noir crime thrillers ever made.	93	4.1	6512	19 Jun 2001	N/A	United Artists	N/A
539	Swingers	1996	R	11 Apr 1997	96 min	Comedy, Drama	Doug Liman	Jon Favreau	Jon Favreau, Vince Vaughn, Ron Livingston, Patrick Van Horn	This is a story about Mike, a guy who left his girl in New York when he came to LA to be a star. It's been six months since his girlfriend left him and he's not doing so good. So, his pal and some other friends try and get him back in the social scene and forget about his 6 year relationship.	English	USA	3 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTcxMDQ1MjUxOF5BMl5BanBnXkFtZTYwMzAwNTA5._V1_SX300.jpg	71	7.4	59365	tt0117802	87	certified	7.7	52	45	7	Funny, heartfelt, and effortlessly cool, Swingers made stars out of Vince Vaughn and Jon Favreau, established Doug Liman as a director to watch.	89	3.8	57459	21 Jul 1998	N/A	Miramax Films	N/A
540	Synecdoche, New York	2008	R	05 Feb 2009	124 min	Drama	Charlie Kaufman	Charlie Kaufman	Philip Seymour Hoffman, Catherine Keener, Sadie Goldstein, Tom Noonan	Theater director Caden Cotard is mounting a new play. Fresh off of a successful production of Death of a Salesman, he has traded in the suburban blue-hairs and regional theater of Schenectady for the cultured audiences and bright footlights of Broadway. Armed with a MacArthur grant and determined to create a piece of brutal realism and honesty, something into which he can put his whole self, he gathers an ensemble cast into a warehouse in Manhattan's theater district. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a small mock-up of the city outside. As the city inside the warehouse grows, Caden's own life veers wildly off the tracks. The shadow of his ex-wife Adele, a celebrated painter who left him years ago for Germany's art scene, sneers at him from every corner. Somewhere in Berlin, his daughter Olive is growing up under the questionable guidance of Adele's friend, Maria. He's helplessly driving his marriage to actress Claire into the ground. Sammy Barnathan, the actor Caden has hired to play himself within the play, is a bit too perfect for the part, and is making it difficult for Caden to revive his relationship with the alluringly candid Hazel. Meanwhile, his therapist, Madeline Gravis, is better at plugging her best-seller than she is at counselling him. His second daughter, Ariel, is disabled. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. As the years rapidly pass, Caden buries himself deeper into his masterpiece. Populating the cast and crew with doppelgangers, he steadily blurs the line between the world of the play and that of his own deteriorating reality. As he pushes the limits of his relationships, both personally and professionally, a change in creative direction arrives in Millicent Weems, a celebrated theater actress who may offer Caden the break he needs.	English, German	USA	9 wins & 18 nominations.	http://ia.media-imdb.com/images/M/MV5BMjA0MjIyOTI3MF5BMl5BanBnXkFtZTcwODM5NTY5MQ@@._V1_SX300.jpg	67	7.4	45623	tt0383028	68	fresh	6.7	180	123	57	Charlie Kaufman's ambitious directorial debut occasionally strains to connect, but ultimately provides fascinating insight into a writer's mind.	70	3.6	55684	31 Mar 2009	$3.0M	Sydney Kimmel Entertainment	http://www.sonyclassics.com/synecdocheny
541	TRON	1982	PG	09 Jul 1982	96 min	Action, Adventure, Sci-Fi	Steven Lisberger	Steven Lisberger (screenplay), Steven Lisberger (story), Bonnie MacBird (story)	Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan	Hacker/arcade owner Kevin Flynn is digitally broken down into a data stream by a villainous software pirate known as Master Control and reconstituted into the internal, 3-D graphical world of computers. It is there, in the ultimate blazingly colorful, geometrically intense landscapes of cyberspace, that Flynn joins forces with Tron to outmaneuver the Master Control Program that holds them captive in the equivalent of a gigantic, infinitely challenging computer game.	English	USA	Nominated for 2 Oscars. Another 1 win & 6 nominations.	http://ia.media-imdb.com/images/M/MV5BMTY0OTM4ODM2MF5BMl5BanBnXkFtZTgwMTI0NDIxMDE@._V1_SX300.jpg	N/A	6.8	86249	tt0084827	70	fresh	6.4	53	37	16	Though perhaps not as strong dramatically as it is technologically, TRON is an original and visually stunning piece of science fiction that represents a landmark work in the history of computer animation.	70	3.4	71756	15 Jan 2002	N/A	Buena Vista Pictures	N/A
542	Taking Lives	2004	R	19 Mar 2004	103 min	Crime, Mystery, Thriller	D.J. Caruso	Michael Pye (novel), Jon Bokenkamp (screen story), Jon Bokenkamp (screenplay)	Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands	The film starts in the early 1980s. Young Martin Asher took a bus for Canada. He meets another teen on the bus Matt Soulsby. When the bus broke they decided to rent a car and drive to Seattle. On the road the car gets a flat tire, and Matt starts changing the tire Martin comments on how he and Matt are about the same height and he quickly pushes Matt in the way of an oncoming truck causing a huge accident where Matt and the driver both die. He took Matt's guitar and left singing like Matt did. Twenty years later, an FBI profiler, Illeana Scott comes to Canada to help hunting down a serial killer Martin Asher who killed multiple men and lived by their identities. Martin's mother claims that she saw Martin in Quebec city and she tells the police that Martin is evil. The police also has an eyewitness James Costa who saw Asher kill his last victim...	English, French	USA, Australia	3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg	38	6.2	59148	tt0364045	22	rotten	4.6	157	35	122	A stylish, but predictable thriller where the only thrills are offered by the sensuous Angelina Jolie.	56	3.2	69038	17 Aug 2004	$32.6M	Warner Bros.	http://takinglives.warnerbros.com
543	Taking Sides	2001	N/A	07 Mar 2002	108 min	Drama, Music, War	Istvn Szab	Ronald Harwood (play), Ronald Harwood (screenplay)	Harvey Keitel, Stellan Skarsgrd, Moritz Bleibtreu, Birgit Minichmayr	A tale based on the life of Wilhelm Furtwangler, the controversial conductor of the Berlin Philharmonic whose tenure coincided with the controversial Nazi era. One of the most spectacular and renowned conductors of the 30s, Furtwangler's reputation rivaled that of Toscanini's. After the war, he was investigated as part of the Allies' de-Nazification programme. In the bombed-out Berlin of the immediate post-war period, the Allies slowly bring law and order--and justice--to bear on an occupied Germany. An American major is given the Furtwangler file, and is told to find everything he can and to prosecute the man ruthlessly. Tough and hard-nosed, Major Steve Arnold sets out to investigate a world of which he knows nothing. Orchestra members vouch for Furtwangler's morality--he did what he could to protect Jewish players from his orchestra. To the Germans, deeply respectful of their musical heritage, Furtwangler was a demigod; to Major Arnold, he is just a lying, weak-willed Nazi.	English, Russian, French, German	France, UK, Germany, Austria	9 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTY0NjA0NTk4M15BMl5BanBnXkFtZTcwNDkzODYyMQ@@._V1_SX300.jpg	61	7.2	2659	tt0260414	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.2	66	N/A	N/A	N/A	N/A
544	The Talented Mr. Ripley	1999	R	25 Dec 1999	139 min	Drama, Music, Thriller	Anthony Minghella	Patricia Highsmith (novel), Anthony Minghella (screenplay)	Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett	The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiance, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own.	English, Italian	USA	Nominated for 5 Oscars. Another 16 wins & 67 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg5NzQ4ODU1OF5BMl5BanBnXkFtZTgwNjkxNTYxMTE@._V1_SX300.jpg	76	7.3	122373	tt0134119	83	certified	7.3	128	106	22	With Matt Damon's unsettling performance offering a darkly twisted counterpoint to Anthony Minghella's glossy direction, The Talented Mr. Ripley is a suspense thriller that lingers.	80	3.4	130149	27 Jun 2000	N/A	Paramount Pictures	http://www.talentedmrripley.com
